metric,size,PANSS,estimate,conf.low,conf.high,p.value,t_value,df,p.value_fdr
mean_perp,10,panss_positive,-0.02032789700926381,-0.12489158244789302,0.08468238424402907,0.7047035755075758,-0.37929037544108996,348,0.8727365046544854
mean_perp,10,panss_negative,0.05755651697973153,-0.047560270193254116,0.16141243813616374,0.2829023589443158,1.0754857886783384,348,0.8727365046544854
mean_perp,20,panss_positive,-0.01639816603763948,-0.12087088753219354,0.08843384028513646,0.75949482145234,-0.3063842186136325,349,0.8727365046544854
mean_perp,20,panss_negative,0.043374968351979376,-0.06158486177817096,0.14738596632491566,0.41787559513358685,0.8110746118404286,349,0.8727365046544854
mean_perp,30,panss_positive,-0.020555807805779782,-0.12496710934222446,0.08430580428886529,0.7011416958236754,-0.3840953371748407,349,0.8727365046544854
mean_perp,30,panss_negative,0.01458057316539209,-0.09023735991224302,0.11907902719108567,0.7854628541890368,0.27241654396630244,349,0.8727365046544854
mean_perp,40,panss_positive,-0.021847264029411808,-0.12609052966376627,0.08287321654007745,0.6829199872391981,-0.4088224619098131,350,0.8727365046544854
mean_perp,40,panss_negative,-0.0022796019874173758,-0.1067853773935178,0.10227599056418643,0.96600680238057,-0.04264755888660498,350,0.96600680238057
mean_perp,50,panss_positive,-0.026796765714447814,-0.13096115185814358,0.07795280904218306,0.6163333930575159,-0.5015016700329766,350,0.8727365046544854
mean_perp,50,panss_negative,-0.019206115604727136,-0.12348941472306568,0.08549675223425733,0.7195276968871736,-0.35937981082366627,350,0.8727365046544854
sd_perp,10,panss_positive,-0.04969119609583472,-0.15446841257241423,0.056191305155346295,0.3574724897412399,-0.9214321406673954,343,0.6810429844772574
sd_perp,10,panss_negative,-0.038435060385948426,-0.14344061775237046,0.06742625141189697,0.4767300891340802,-0.7123536378948275,343,0.6810429844772574
sd_perp,20,panss_positive,-0.040865115717122806,-0.14567226407289552,0.06484908598014931,0.44863004512652005,-0.758568639287368,344,0.6810429844772574
sd_perp,20,panss_negative,0.04665363597448533,-0.0590717255080011,0.15134398018446724,0.38696272417724964,0.8662392680652063,344,0.6810429844772574
sd_perp,30,panss_positive,-0.07764606085384054,-0.18159421492293537,0.028018104659885235,0.14951397487683865,-1.4444807978044674,344,0.5823338514907932
sd_perp,30,panss_negative,0.001630569153347,-0.10382207240565709,0.10704695837838457,0.9758911179938901,0.030242592721187594,344,0.9758911179938901
sd_perp,40,panss_positive,-0.07281696006287365,-0.17644822209187105,0.03241089016693062,0.17470015544723794,-1.3600401418256176,347,0.5823338514907932
sd_perp,40,panss_negative,0.0023583420337917565,-0.102647161898989,0.10731186452906116,0.9649845406560184,0.043931166663480355,347,0.9758911179938901
sd_perp,50,panss_positive,-0.0746262070089524,-0.17806303621097266,0.03044176616036335,0.163596426784958,-1.3960265527345568,348,0.5823338514907932
sd_perp,50,panss_negative,-0.02161775480772905,-0.12616167469549117,0.08340107313364135,0.6869250607676409,-0.40336825025338247,348,0.8586563259595512
min_perp,10,panss_positive,-0.04685131575177715,-0.15079197482462234,0.05811390241092702,0.38151475876175944,-0.8762170050839848,349,0.6358579312695991
min_perp,10,panss_negative,0.02498622334396852,-0.07990297194182494,0.12932816142773548,0.6408435019899839,0.46692694978758015,349,0.7487787235317398
min_perp,20,panss_positive,-0.01943951706012008,-0.12357164409120525,0.08511606919443172,0.7158771820694734,-0.3642680694033654,351,0.7487787235317398
min_perp,20,panss_negative,0.11700641079384387,0.012779621499039875,0.2187179791061725,0.027941340200392094,2.2072758293854404,351,0.27941340200392095
min_perp,30,panss_positive,-0.017129064170885507,-0.12144283934450403,0.08755893327394136,0.7487787235317398,-0.3205024693547315,350,0.7487787235317398
min_perp,30,panss_negative,0.08219569115796918,-0.0225291004821446,0.18513621905452013,0.12374371802096566,1.542961634360012,350,0.6187185901048283
min_perp,40,panss_positive,-0.05319361795431925,-0.15670637813216515,0.05147507026838517,0.3189692576465162,-0.9979950571092716,351,0.6358579312695991
min_perp,40,panss_negative,0.05214697253555566,-0.052521789495475445,0.15568242679989958,0.32859764285295456,0.9783042775376075,351,0.6358579312695991
min_perp,50,panss_positive,-0.038557698611560984,-0.14236757556985932,0.06609117548756886,0.47021301862113196,-0.7229158299147376,351,0.6717328837444743
min_perp,50,panss_negative,0.05110155655046441,-0.05356704966862245,0.1546594560857947,0.33840005641506377,0.9586398545756336,351,0.6358579312695991
max_perp,10,panss_positive,-0.06164847108961239,-0.1661545957840006,0.04422709512400099,0.25345388960440457,-1.1439214880132111,343,0.46266207301335704
max_perp,10,panss_negative,-0.06999092511523249,-0.1742905645467867,0.03586177779821798,0.1946667738509015,-1.2994367753896192,343,0.46266207301335704
max_perp,20,panss_positive,0.006181634588693307,-0.09947096850124058,0.1116964077940849,0.9089182137171468,0.11448766217977421,343,0.9310795371156758
max_perp,20,panss_negative,0.03041808332515881,-0.07541180034066414,0.1355703398727691,0.573386779613861,0.5636115907770383,343,0.7167334745173262
max_perp,30,panss_positive,-0.039682501887303004,-0.14451266558322085,0.06602854863848971,0.46187924538795544,-0.7365809427474961,344,0.6598274934113649
max_perp,30,panss_negative,0.004666414417839986,-0.10081798087553319,0.11004706359559527,0.9310795371156758,0.08655003644283697,344,0.9310795371156758
max_perp,40,panss_positive,-0.08141504446217421,-0.18511091990461692,0.024073876256344467,0.13011827504439957,-1.5172541854899142,345,0.46266207301335704
max_perp,40,panss_negative,-0.058446242636432166,-0.16272748952691957,0.04712631246932364,0.2775972438080142,-1.0874497081218026,345,0.46266207301335704
max_perp,50,panss_positive,-0.088330867726119075,-0.19153485898545217,0.016805055918489593,0.09946387151290395,-1.6518786322638623,347,0.46266207301335704
max_perp,50,panss_negative,-0.06335450307064595,-0.16722240395916743,0.041904291412346084,0.2378014422139125,-1.1825392492821443,347,0.46266207301335704
