metric,size,PANSS,estimate,conf.low,conf.high,p.value,t_value,df
word_mean,10,panss_total,0.01321604575873859,-0.09174088098106012,0.1178825526947563,0.8053913003283482,0.24656367057167605,348
word_mean,10,panss_positive,-0.02032789700926381,-0.12489158244789302,0.08468238424402907,0.7047035755075758,-0.37929037544108996,348
word_mean,10,panss_negative,0.05755651697973153,-0.047560270193254116,0.16141243813616374,0.2829023589443158,1.0754857886783384,348
word_mean,10,panss_general,-0.002691731819061895,-0.10749122625520806,0.1021669226488951,0.9599808322741581,-0.05021378788162681,348
word_mean,20,panss_total,0.007972817351810487,-0.09678816571055336,0.11255908000949064,0.8816797050559095,0.14894925387840155,349
word_mean,20,panss_positive,-0.01639816603763948,-0.12087088753219354,0.08843384028513646,0.75949482145234,-0.3063842186136325,349
word_mean,20,panss_negative,0.043374968351979376,-0.06158486177817096,0.14738596632491566,0.41787559513358685,0.8110746118404286,349
word_mean,20,panss_general,-0.00514653635378968,-0.10976760413471262,0.09958731939820108,0.9234594001586264,-0.0961465067809334,349
word_mean,30,panss_total,-0.01050386333536904,-0.11505755622773071,0.09428000595275414,0.8445371740235004,-0.19623918677529695,349
word_mean,30,panss_positive,-0.020555807805779782,-0.12496710934222446,0.08430580428886529,0.7011416958236754,-0.3840953371748407,349
word_mean,30,panss_negative,0.01458057316539209,-0.09023735991224302,0.11907902719108567,0.7854628541890368,0.27241654396630244,349
word_mean,30,panss_general,-0.017621689520163006,-0.12207670572709785,0.08721940309091193,0.7421631379944877,-0.32925145165754616,349
word_mean,40,panss_total,-0.023643657293907005,-0.1278588752849109,0.08108797291008056,0.6584325508188924,-0.44245601354921194,350
word_mean,40,panss_positive,-0.021847264029411808,-0.12609052966376627,0.08287321654007745,0.6829199872391981,-0.4088224619098131,350
word_mean,40,panss_negative,-0.0022796019874173758,-0.1067853773935178,0.10227599056418643,0.96600680238057,-0.04264755888660498,350
word_mean,40,panss_general,-0.030070440900090704,-0.13417989449848391,0.07469557093014767,0.573917141309596,-0.5628209543298385,350
word_mean,50,panss_total,-0.03562978572429823,-0.1396409248196372,0.06915901308281028,0.5052143186719122,-0.6669957586044213,350
word_mean,50,panss_positive,-0.026796765714447814,-0.13096115185814358,0.07795280904218306,0.6163333930575159,-0.5015016700329766,350
word_mean,50,panss_negative,-0.019206115604727136,-0.12348941472306568,0.08549675223425733,0.7195276968871736,-0.35937981082366627,350
word_mean,50,panss_general,-0.037996207382236795,-0.14196357911276006,0.06680033074958996,0.477336464410933,-0.7113576332711274,350
word_std,10,panss_total,-0.05091839670505686,-0.15566914203936028,0.054964791488413434,0.3457082054135424,-0.9442467646375139,343
word_std,10,panss_positive,-0.04969119609583472,-0.15446841257241423,0.056191305155346295,0.3574724897412399,-0.9214321406673954,343
word_std,10,panss_negative,-0.038435060385948426,-0.14344061775237046,0.06742625141189697,0.4767300891340802,-0.7123536378948275,343
word_std,10,panss_general,-0.03950288317455235,-0.1444878995341341,0.06636159013988942,0.4645616683639484,-0.7321751291972657,343
word_std,20,panss_total,0.01589540281985539,-0.08968970331120255,0.12112719490299398,0.7682839976933201,0.29485305487150354,344
word_std,20,panss_positive,-0.040865115717122806,-0.14567226407289552,0.06484908598014931,0.44863004512652005,-0.758568639287368,344
word_std,20,panss_negative,0.04665363597448533,-0.0590717255080011,0.15134398018446724,0.38696272417724964,0.8662392680652063,344
word_std,20,panss_general,0.022652199683219885,-0.08298077839838022,0.1277818071639948,0.6745699189553388,0.42024354786296203,344
word_std,30,panss_total,-0.0305925594018241,-0.1355900037130961,0.07508441950783111,0.5706272190008244,-0.5676731555546284,344
word_std,30,panss_positive,-0.07764606085384054,-0.18159421492293537,0.028018104659885235,0.14951397487683865,-1.4444807978044674,344
word_std,30,panss_negative,0.001630569153347,-0.10382207240565709,0.10704695837838457,0.9758911179938901,0.030242592721187594,344
word_std,30,panss_general,-0.011729223702086716,-0.11701930224536525,0.09382159508860617,0.8279012060746738,-0.2175596575887829,344
word_std,40,panss_total,-0.027816445747127223,-0.13240987665602041,0.07738963603334516,0.6045350077853993,-0.5183635533223367,347
word_std,40,panss_positive,-0.07281696006287365,-0.17644822209187105,0.03241089016693062,0.17470015544723794,-1.3600401418256176,347
word_std,40,panss_negative,0.0023583420337917565,-0.102647161898989,0.10731186452906116,0.9649845406560184,0.043931166663480355,347
word_std,40,panss_general,-0.009900222054829344,-0.11476103855484684,0.09517879041170871,0.8537840756907145,-0.18442974153051553,347
word_std,50,panss_total,-0.042060441682670986,-0.14624544355704988,0.06304737172205925,0.4327989369405004,-0.78532232222713,348
word_std,50,panss_positive,-0.0746262070089524,-0.17806303621097266,0.03044176616036335,0.163596426784958,-1.3960265527345568,348
word_std,50,panss_negative,-0.02161775480772905,-0.12616167469549117,0.08340107313364135,0.6869250607676409,-0.40336825025338247,348
word_std,50,panss_general,-0.01912450314008556,-0.12370632008356937,0.08587749126999886,0.7214366592680885,-0.3568282403083326,348
word_min,10,panss_total,-0.04310302807047874,-0.14711942429161387,0.06185627355704866,0.420803168850421,-0.8059800675424148,349
word_min,10,panss_positive,-0.04685131575177715,-0.15079197482462234,0.05811390241092702,0.38151475876175944,-0.8762170050839848,349
word_min,10,panss_negative,0.02498622334396852,-0.07990297194182494,0.12932816142773548,0.6408435019899839,0.46692694978758015,349
word_min,10,panss_general,-0.07104721409833534,-0.1744301398634762,0.03388500071038812,0.18417817959225966,-1.3306340661873444,349
word_min,20,panss_total,0.04378145456626825,-0.060879640217905914,0.14749029167686215,0.4121850025988727,0.8210325499069049,351
word_min,20,panss_positive,-0.01943951706012008,-0.12357164409120525,0.08511606919443172,0.7158771820694734,-0.3642680694033654,351
word_min,20,panss_negative,0.11700641079384387,0.012779621499039875,0.2187179791061725,0.027941340200392094,2.2072758293854404,351
word_min,20,panss_general,0.013281489406459152,-0.0912278580068778,0.11750146283463925,0.8036219139443397,0.24885057361212917,351
word_min,30,panss_total,0.019825394915168243,-0.08488173292325277,0.12409943587573248,0.7108827571432939,0.3709720884157026,350
word_min,30,panss_positive,-0.017129064170885507,-0.12144283934450403,0.08755893327394136,0.7487787235317398,-0.3205024693547315,350
word_min,30,panss_negative,0.08219569115796918,-0.0225291004821446,0.18513621905452013,0.12374371802096566,1.542961634360012,350
word_min,30,panss_general,-0.009547284025039085,-0.11396476965784332,0.09507882486971339,0.8583382821530469,-0.17862146989505595,350
word_min,40,panss_total,-0.03336135289380275,-0.13726621611546627,0.07126970620066957,0.5321327467317216,-0.6253728567233876,351
word_min,40,panss_positive,-0.05319361795431925,-0.15670637813216515,0.05147507026838517,0.3189692576465162,-0.9979950571092716,351
word_min,40,panss_negative,0.05214697253555566,-0.052521789495475445,0.15568242679989958,0.32859764285295456,0.9783042775376075,351
word_min,40,panss_general,-0.06755274090688426,-0.17073172466224631,0.037091678225560726,0.20546087439568178,-1.268497818988322,351
word_min,50,panss_total,-0.014668486560292739,-0.11886935384291236,0.08985196202037353,0.7835981195419399,-0.27484357750655575,351
word_min,50,panss_positive,-0.038557698611560984,-0.14236757556985932,0.06609117548756886,0.47021301862113196,-0.7229158299147376,351
word_min,50,panss_negative,0.05110155655046441,-0.05356704966862245,0.1546594560857947,0.33840005641506377,0.9586398545756336,351
word_min,50,panss_general,-0.040160683326673774,-0.14394014639696287,0.06449254783519257,0.45194404835531743,-0.7530176697791211,351
word_max,10,panss_total,-0.09197638571783726,-0.19566385980797385,0.013744775620818567,0.08804479436393953,-1.710677742231442,343
word_max,10,panss_positive,-0.06164847108961239,-0.1661545957840006,0.04422709512400099,0.25345388960440457,-1.1439214880132111,343
word_max,10,panss_negative,-0.06999092511523249,-0.1742905645467867,0.03586177779821798,0.1946667738509015,-1.2994367753896192,343
word_max,10,panss_general,-0.08821195653777698,-0.1920112235808686,0.017539082097562365,0.10190071118286526,-1.640101862279178,343
word_max,20,panss_total,0.02964570241181745,-0.07618043712997007,0.13481139092816763,0.5831655706060771,0.5492875207442482,343
word_max,20,panss_positive,0.006181634588693307,-0.09947096850124058,0.1116964077940849,0.9089182137171468,0.11448766217977421,343
word_max,20,panss_negative,0.03041808332515881,-0.07541180034066414,0.1355703398727691,0.573386779613861,0.5636115907770383,343
word_max,20,panss_general,0.03138648413310216,-0.07444791614196944,0.13652172553497466,0.561236771800399,0.5815723481678186,343
word_max,30,panss_total,-0.013579605044445069,-0.11884424087759016,0.09198689096910247,0.8012785336411139,-0.2518873788050018,344
word_max,30,panss_positive,-0.039682501887303004,-0.14451266558322085,0.06602854863848971,0.46187924538795544,-0.7365809427474961,344
word_max,30,panss_negative,0.004666414417839986,-0.10081798087553319,0.11004706359559527,0.9310795371156758,0.08655003644283697,344
word_max,30,panss_general,-0.004746795304092417,-0.11012647209719993,0.10073841459470477,0.9298953746778144,-0.08804092933031465,344
word_max,40,panss_total,-0.08755917969268937,-0.19108028405341645,0.01788829217133572,0.10346338078620033,-1.632609913718777,345
word_max,40,panss_positive,-0.08141504446217421,-0.18511091990461692,0.024073876256344467,0.13011827504439957,-1.5172541854899142,345
word_max,40,panss_negative,-0.058446242636432166,-0.16272748952691957,0.04712631246932364,0.2775972438080142,-1.0874497081218026,345
word_max,40,panss_general,-0.07613434133988413,-0.17997430530474506,0.02938375710434424,0.15702071997837833,-1.41824899671676,345
word_max,50,panss_total,-0.0813131902827791,-0.18471649181308097,0.0238706667352949,0.12948963055229235,-1.5197293373166447,347
word_max,50,panss_positive,-0.088330867726119075,-0.19153485898545217,0.016805055918489593,0.09946387151290395,-1.6518786322638623,347
word_max,50,panss_negative,-0.06335450307064595,-0.16722240395916743,0.041904291412346084,0.2378014422139125,-1.1825392492821443,347
word_max,50,panss_general,-0.056190023517467,-0.16022497368817415,0.049079579417804886,0.29520219192995983,-1.0483604749935591,347
